10/26/2006 06:30,stoke-on-trent (uk/england),,gb,sphere,1500,25minutes,"((HOAX??))  3 orbs 1 orange 2 white",10/30/2006,53,-2.183333;
10/26/2006 06:45,oklahoma city,ok,us,light,5,5 seconds,"A bright stationary light similiar to Venus that lasted about 5 seconds&#44 then disapeared as if behind clouds.",10/30/2006,35.4675000,-97.5161111;
10/26/2006 09:45,ardmore,pa,us,light,2,2 seconds,"Bright light speeds by",10/30/2006,40.0066667,-75.2858333;
10/26/2006 10:30,altamonte springs,fl,us,cigar,300,5 min,"firey orange&#44 vertical cigar shaped craft",12/7/2006,28.6608333,-81.3658333;
10/26/2006 12:30,orlando,fl,us,changing,20,15 to 20 secs,"fast moving bright object",10/30/2006,28.5380556,-81.3794444;
10/26/2006 15:00,strawberry,ca,us,triangle,60,aprox. 1- minute,"Black Traingler UFO floating in mountain sky&#44 later very odd flickering like morris code close by.",10/30/2006,38.1983333,-120.0083333;
10/26/2006 19:45,northampton (uk/england),,gb,fireball,40,40 seconds,"bright white object travelling accross the sky and in a flash it was gone",10/30/2006,52.25,-.883333;
10/26/2006 21:00,lancaster (southwest),pa,us,triangle,300,3-5 minutes,"3 Evenly spaced lights dropped in front of car as if to crash/land&#44 on roadway&#44 then craft turned and disappeared",11/28/2007,40.0377778,-76.3058333;
10/26/2006 23:00,coxsackie,ny,us,light,1800,30 minutes,"uknown hovering lit up object observed in sky over Coxsackie &#44New york",10/30/2006,42.3508333,-73.8033333;
10/26/2006 23:00,lebanon,nj,us,disk,10,10 seconds,"UFO over traffic on I-78 in New Jersey",2/1/2007,40.6416667,-74.8363889;
10/26/2007 04:00,bangkok (thailand),,,changing,7200,4:00~6:00,"Life UFO Movement over Bangkok 4:00~6:00 on East Side 1 months already.  ((NUFORC Note:  Sighting of Venus?  PD))",11/28/2007,13.727896,100.524123;
10/26/2007 04:30,duluth,mn,us,oval,1800,30 min.,"An oval that had a green glow and blinking light.",11/28/2007,46.7833333,-92.1063889;
10/26/2007 05:00,otis,me,us,oval,2700,45 min,"Very bright oval shaped object silently moving up and down.",11/28/2007,44.7122222,-68.4533333;
10/26/2007 14:20,vanvouver (canada),bc,,cigar,30,30 seconds,"Very bright white object with a red tail seen for 30 seconds and then disappears",11/28/2007,49.261226,-123.113927;
10/26/2007 18:55,battle ground,wa,us,fireball,4,4 seconds,"Fireball observed over Battle Ground&#44 WA",11/28/2007,45.7811111,-122.5322222;
10/26/2007 18:55,seattle,wa,us,formation,5,3-5 seconds,"Bright object falling from sky towards Seattle airport 10/26/07",11/28/2007,47.6063889,-122.3308333;
10/26/2007 19:00,bearskin lake (canada),on,ca,circle,10,10 sec,"Oct. 26&#44 2007 19:00 hrs. Bearskin Lake ON&#44 Circular disc with 4 lights seen 500 ft above ground heading East",11/28/2007,53.933333,-90.983333;
10/26/2007 20:15,waukesha,wi,us,light,30,20-30 seconds,"Dancing&#44 circulating lights observed in Waukesha neighborhood.",11/28/2007,43.0116667,-88.2313889;
10/26/2007 20:18,nashville,tn,us,formation,30,30 sec,"formation of 5-6 Ufos fly directly over Nashville.",11/28/2007,36.1658333,-86.7844444;
10/26/2007 20:30,tarpon springs,fl,us,light,5,5 seconds,"Small&#44 white&#44 fast moving light in sky for 5 seconds.",3/4/2008,28.1458333,-82.7569444;
10/26/2007 21:00,san antonio,tx,us,fireball,60,1 minute,"blue fire ball shoots down from sky and stops in mid air",11/28/2007,29.4238889,-98.4933333;
10/26/2007 23:06,albuquerque,nm,us,light,180,3 minutes,"Witnessed 6-7 jet aircraft following small orange light which became extremely bright and shot off",11/28/2007,35.0844444,-106.6505556;
